# Which OGKM tags actually ship a public NVIDIA .run installer.
#
# WHY THIS EXISTS: sweep_plan.py used to choose driver versions from the 216
# supported OGKM tags alone. Publishing an open-gpu-kernel-modules tag and
# publishing a downloadable driver are DIFFERENT THINGS -- 87 of the 216 tags
# have no .run at either public path. A plan built without this file sends
# boxes to install drivers that cannot be obtained, and every one of them
# burns a rental and returns `driver-install-failed`. Observed 2026-08-30:
# 10 of 24 planned versions (42%) were unobtainable.
#
# Probed by range-requesting one byte of each candidate URL, in this order:
#   https://us.download.nvidia.com/XFree86/Linux-x86_64/$v/NVIDIA-Linux-x86_64-$v.run
#   https://us.download.nvidia.com/tesla/$v/NVIDIA-Linux-x86_64-$v.run
# AVAILABLE means one returned 200/206 and the third column is that URL.
#
# NOTE 403 != ABSENT. A rented box saw HTTP 403 for URLs that return 206 from a
# normal network, i.e. NVIDIA's CDN rate-limits/blocks some hosts. That is what
# --driver-cache is for: fetch here, upload to the box. Do not re-probe from a
# rented box and do not let a 403 rewrite this file.
#
# Regenerate from a trusted network; it changes only when NVIDIA publishes or
# withdraws an installer.
#
# version	status	url
570.123.19	ABSENT	-
570.124.04	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.124.04/NVIDIA-Linux-x86_64-570.124.04.run
570.124.06	AVAILABLE	https://us.download.nvidia.com/tesla/570.124.06/NVIDIA-Linux-x86_64-570.124.06.run
570.133.07	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.133.07/NVIDIA-Linux-x86_64-570.133.07.run
570.133.20	AVAILABLE	https://us.download.nvidia.com/tesla/570.133.20/NVIDIA-Linux-x86_64-570.133.20.run
570.144	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.144/NVIDIA-Linux-x86_64-570.144.run
570.148.08	AVAILABLE	https://us.download.nvidia.com/tesla/570.148.08/NVIDIA-Linux-x86_64-570.148.08.run
570.153.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.153.02/NVIDIA-Linux-x86_64-570.153.02.run
570.158.01	AVAILABLE	https://us.download.nvidia.com/tesla/570.158.01/NVIDIA-Linux-x86_64-570.158.01.run
570.169	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.169/NVIDIA-Linux-x86_64-570.169.run
570.172.08	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.172.08/NVIDIA-Linux-x86_64-570.172.08.run
570.181	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.181/NVIDIA-Linux-x86_64-570.181.run
570.190	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.190/NVIDIA-Linux-x86_64-570.190.run
570.195.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.195.03/NVIDIA-Linux-x86_64-570.195.03.run
570.207	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.207/NVIDIA-Linux-x86_64-570.207.run
570.211.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.211.01/NVIDIA-Linux-x86_64-570.211.01.run
